Layers, maps, kernel size, dense layer size, AUC, Sensitivity, Specificity, G-mean
1,16,150,200,0.8714,0.9245,0.5322,0.7014
1,16,150,300,0.8697,0.9339,0.5037,0.6859
2,2,10,25,0.8687,0.9148,0.5757,0.7257
2,2,10,50,0.8701,0.9436,0.4482,0.6504
2,2,10,100,0.8690,0.9297,0.5112,0.6894
2,2,10,200,0.8579,0.9411,0.4062,0.6183
2,2,10,300,0.8621,0.9427,0.3823,0.6003
2,2,20,25,0.8675,0.9233,0.5292,0.6990
2,2,20,50,0.8705,0.9511,0.4047,0.6204
2,2,20,100,0.8689,0.9297,0.5142,0.6914
2,2,20,200,0.8685,0.9268,0.5082,0.6863
2,2,20,300,0.8679,0.9414,0.4767,0.6699
2,2,50,25,0.8694,0.9223,0.5337,0.7016
2,2,50,50,0.8696,0.9320,0.5022,0.6841
2,2,50,100,0.8700,0.9346,0.4887,0.6758
2,2,50,200,0.8691,0.9472,0.4332,0.6406
2,2,50,300,0.8596,0.9346,0.4482,0.6472
2,2,100,25,0.8717,0.9249,0.5262,0.6976
2,2,100,50,0.8683,0.9514,0.4227,0.6342
2,2,100,100,0.8600,0.9381,0.4377,0.6408
2,2,100,200,0.8660,0.9504,0.3958,0.6133
2,2,100,300,0.8661,0.9414,0.4347,0.6397
2,2,150,25,0.8669,0.9184,0.5457,0.7079
2,2,150,50,0.8659,0.9466,0.4452,0.6492
2,2,150,100,0.8661,0.9537,0.3508,0.5784
2,2,150,200,0.8590,0.9207,0.5022,0.6800
2,2,150,300,0.8649,0.9249,0.4962,0.6774
2,4,10,25,0.8706,0.9317,0.5097,0.6891
2,4,10,50,0.8706,0.9398,0.4692,0.6640
2,4,10,100,0.8667,0.9323,0.4857,0.6729
2,4,10,200,0.8672,0.9207,0.5292,0.6980
2,4,10,300,0.8671,0.9443,0.4062,0.6194
2,4,20,25,0.8704,0.9336,0.5037,0.6858
2,4,20,50,0.8700,0.9456,0.4347,0.6412
2,4,20,100,0.8659,0.9255,0.5127,0.6888
2,4,20,200,0.8676,0.9355,0.4962,0.6813
2,4,20,300,0.8694,0.9498,0.3898,0.6084
2,4,50,25,0.8705,0.9184,0.5562,0.7147
2,4,50,50,0.8711,0.9310,0.4977,0.6807
2,4,50,100,0.8669,0.9336,0.4977,0.6817
2,4,50,200,0.8648,0.9462,0.4182,0.6291
2,4,50,300,0.8666,0.9284,0.4887,0.6736
2,4,100,25,0.8697,0.9401,0.4437,0.6459
2,4,100,50,0.8680,0.9420,0.4512,0.6520
2,4,100,100,0.8665,0.9365,0.4617,0.6576
2,4,100,200,0.8666,0.9119,0.5682,0.7198
2,4,100,300,0.8658,0.9375,0.4692,0.6632
2,4,150,25,0.8692,0.9236,0.5262,0.6971
2,4,150,50,0.8690,0.9265,0.4962,0.6780
2,4,150,100,0.8662,0.9375,0.4767,0.6685
2,4,150,200,0.8636,0.9453,0.4122,0.6242
2,4,150,300,0.8598,0.9288,0.4707,0.6612
2,8,10,25,0.8696,0.9365,0.4857,0.6744
2,8,10,50,0.8692,0.9368,0.4902,0.6777
2,8,10,100,0.8628,0.9398,0.4257,0.6325
2,8,10,200,0.8687,0.9466,0.4002,0.6155
2,8,10,300,0.8682,0.9339,0.4812,0.6704
2,8,20,25,0.8673,0.9469,0.4092,0.6225
2,8,20,50,0.8685,0.9284,0.5037,0.6839
2,8,20,100,0.8686,0.9381,0.4467,0.6474
2,8,20,200,0.8642,0.9624,0.3328,0.5659
2,8,20,300,0.8636,0.9236,0.5052,0.6831
2,8,50,25,0.8686,0.9436,0.4392,0.6438
2,8,50,50,0.8684,0.9417,0.4602,0.6583
2,8,50,100,0.8661,0.9349,0.4752,0.6665
2,8,50,200,0.8638,0.9343,0.4617,0.6568
2,8,50,300,0.8596,0.9559,0.3463,0.5753
2,8,100,25,0.8701,0.9375,0.4707,0.6643
2,8,100,50,0.8658,0.9271,0.4962,0.6783
2,8,100,100,0.8684,0.9116,0.5772,0.7254
2,8,100,200,0.8672,0.9605,0.3478,0.5780
2,8,100,300,0.8641,0.9262,0.4752,0.6634
2,8,150,25,0.8687,0.9262,0.5292,0.7001
2,8,150,50,0.8671,0.9511,0.3913,0.6100
2,8,150,100,0.8692,0.9372,0.4707,0.6642
2,8,150,200,0.8656,0.9508,0.4047,0.6203
2,8,150,300,0.8661,0.9326,0.4977,0.6813
2,16,10,25,0.8702,0.9265,0.5277,0.6992
2,16,10,50,0.8700,0.9401,0.4662,0.6620
2,16,10,100,0.8651,0.9414,0.4377,0.6419
2,16,10,200,0.8652,0.9365,0.4452,0.6457
2,16,10,300,0.8611,0.9291,0.5007,0.6820
2,16,20,25,0.8683,0.9326,0.5037,0.6854
2,16,20,50,0.8677,0.9365,0.4617,0.6576
2,16,20,100,0.8678,0.9300,0.4977,0.6804
2,16,20,200,0.8643,0.9317,0.4902,0.6758
2,16,20,300,0.8662,0.9414,0.4452,0.6474
2,16,50,25,0.8693,0.9427,0.4377,0.6424
2,16,50,50,0.8672,0.9456,0.4332,0.6400
2,16,50,100,0.8665,0.9355,0.4947,0.6803
2,16,50,200,0.8652,0.9514,0.4077,0.6228
2,16,50,300,0.8668,0.9317,0.4947,0.6789
2,16,100,25,0.8716,0.9559,0.3808,0.6033
2,16,100,50,0.8697,0.9297,0.4977,0.6802
2,16,100,100,0.8706,0.9495,0.4137,0.6268
2,16,100,200,0.8676,0.9349,0.4722,0.6644
2,16,100,300,0.8699,0.9407,0.4752,0.6686
2,16,150,25,0.8702,0.9307,0.5172,0.6938
2,16,150,50,0.8698,0.9216,0.5412,0.7062
2,16,150,100,0.8689,0.9546,0.3868,0.6076
2,16,150,200,0.8658,0.9546,0.3748,0.5981
2,16,150,300,0.8710,0.9517,0.4167,0.6298
3,2,10,25,0.8697,0.9372,0.4857,0.6747
3,2,10,50,0.8688,0.9417,0.4572,0.6562
3,2,10,100,0.8679,0.9414,0.4542,0.6539
3,2,10,200,0.8701,0.9258,0.5322,0.7019
3,2,10,300,0.8580,0.9491,0.4002,0.6164
3,2,20,25,0.8692,0.9478,0.4227,0.6330
3,2,20,50,0.8710,0.9436,0.4557,0.6558
3,2,20,100,0.8717,0.9462,0.4122,0.6246
3,2,20,200,0.8694,0.9553,0.3733,0.5971
3,2,20,300,0.8685,0.9349,0.4842,0.6728
3,2,50,25,0.8704,0.9443,0.4422,0.6462
3,2,50,50,0.8701,0.9258,0.5277,0.6990
3,2,50,100,0.8663,0.9446,0.4392,0.6441
3,2,50,200,0.8653,0.9585,0.3598,0.5872
3,2,50,300,0.8648,0.9398,0.4272,0.6336
3,2,100,25,0.8704,0.9433,0.4452,0.6481
3,2,100,50,0.8686,0.9381,0.4692,0.6635
3,2,100,100,0.8657,0.9119,0.5442,0.7045
3,2,100,200,0.8637,0.9245,0.5052,0.6834
3,2,100,300,0.8584,0.9330,0.4467,0.6456
3,2,150,25,0.8668,0.9427,0.4332,0.6391
3,2,150,50,0.8659,0.9233,0.5127,0.6880
3,2,150,100,0.8684,0.9533,0.3943,0.6131
3,2,150,200,0.8637,0.9388,0.4677,0.6626
3,2,150,300,0.8639,0.9504,0.4122,0.6260
3,4,10,25,0.8685,0.9414,0.4617,0.6593
3,4,10,50,0.8690,0.9359,0.4692,0.6627
3,4,10,100,0.8645,0.9258,0.5157,0.6910
3,4,10,200,0.8708,0.9336,0.4872,0.6744
3,4,10,300,0.8674,0.9440,0.4467,0.6494
3,4,20,25,0.8708,0.9220,0.5307,0.6995
3,4,20,50,0.8693,0.9443,0.4512,0.6528
3,4,20,100,0.8671,0.9453,0.4212,0.6310
3,4,20,200,0.8660,0.9233,0.5187,0.6920
3,4,20,300,0.8663,0.9352,0.4497,0.6485
3,4,50,25,0.8682,0.9423,0.4407,0.6445
3,4,50,50,0.8680,0.9307,0.4887,0.6744
3,4,50,100,0.8669,0.9275,0.5067,0.6855
3,4,50,200,0.8624,0.9255,0.4872,0.6715
3,4,50,300,0.8650,0.9559,0.3688,0.5937
3,4,100,25,0.8666,0.9284,0.5247,0.6980
3,4,100,50,0.8671,0.9291,0.4947,0.6780
3,4,100,100,0.8681,0.9317,0.5022,0.6840
3,4,100,200,0.8525,0.9482,0.3688,0.5913
3,4,100,300,0.8649,0.9346,0.4737,0.6654
3,4,150,25,0.8688,0.9488,0.4212,0.6322
3,4,150,50,0.8671,0.9407,0.4377,0.6417
3,4,150,100,0.8653,0.9194,0.5517,0.7122
3,4,150,200,0.8604,0.9495,0.3838,0.6036
3,4,150,300,0.8635,0.9553,0.3673,0.5923
3,8,10,25,0.8699,0.9388,0.4812,0.6721
3,8,10,50,0.8698,0.9333,0.5007,0.6836
3,8,10,100,0.8670,0.9362,0.4797,0.6702
3,8,10,200,0.8686,0.9495,0.4122,0.6256
3,8,10,300,0.8635,0.9223,0.5142,0.6886
3,8,20,25,0.8681,0.9378,0.4887,0.6770
3,8,20,50,0.8699,0.9527,0.3883,0.6082
3,8,20,100,0.8649,0.9355,0.4632,0.6583
3,8,20,200,0.8627,0.9229,0.5037,0.6818
3,8,20,300,0.8688,0.9307,0.5112,0.6898
3,8,50,25,0.8691,0.9569,0.3658,0.5916
3,8,50,50,0.8675,0.9288,0.5052,0.6850
3,8,50,100,0.8695,0.9330,0.4887,0.6752
3,8,50,200,0.8615,0.9401,0.4497,0.6502
3,8,50,300,0.8643,0.9414,0.4512,0.6517
3,8,100,25,0.8673,0.9352,0.4947,0.6802
3,8,100,50,0.8681,0.9359,0.4617,0.6574
3,8,100,100,0.8677,0.9297,0.5037,0.6843
3,8,100,200,0.8665,0.9352,0.4677,0.6614
3,8,100,300,0.8650,0.9087,0.5667,0.7176
3,8,150,25,0.8718,0.9404,0.4842,0.6748
3,8,150,50,0.8708,0.9368,0.4857,0.6746
3,8,150,100,0.8688,0.9100,0.5862,0.7303
3,8,150,200,0.8674,0.9462,0.4167,0.6280
3,8,150,300,0.8703,0.9595,0.3868,0.6092
3,16,10,25,0.8695,0.9508,0.4227,0.6340
3,16,10,50,0.8699,0.9352,0.4932,0.6792
3,16,10,100,0.8648,0.9411,0.4572,0.6560
3,16,10,200,0.8626,0.9317,0.4992,0.6820
3,16,10,300,0.8640,0.9284,0.5022,0.6828
3,16,20,25,0.8659,0.9252,0.5217,0.6947
3,16,20,50,0.8675,0.9381,0.4677,0.6624
3,16,20,100,0.8650,0.9469,0.4182,0.6293
3,16,20,200,0.8602,0.9456,0.4332,0.6400
3,16,20,300,0.8658,0.9475,0.4077,0.6216
3,16,50,25,0.8653,0.9385,0.4632,0.6593
3,16,50,50,0.8644,0.9148,0.5472,0.7075
3,16,50,100,0.8685,0.9359,0.4722,0.6648
